source,target,type
79,14489,"link"
79,16134,"link"
79,18269,"link"
79,15684,"link"
79,16140,"link"
79,16136,"link"
79,15686,"link"
79,18286,"link"
79,16130,"link"
79,16125,"link"
79,2768,"link"
79,18284,"link"
79,14842,"link"
79,18281,"link"
79,14859,"link"
79,14640,"link"
79,14638,"link"
79,14632,"link"
79,15056,"link"
79,15024,"link"
79,14629,"link"
79,15022,"link"
79,15055,"link"
79,14986,"link"
79,15018,"link"
79,18196,"link"
79,12859,"link"
79,13637,"link"
79,15007,"link"
79,14989,"link"
79,13211,"link"
79,17906,"link"
79,15019,"link"
79,14991,"link"
79,15349,"link"
79,15011,"link"
79,15350,"link"
79,15329,"link"
79,18120,"link"
79,18237,"link"
79,18096,"link"
79,18097,"link"
79,15336,"link"
79,18238,"link"
79,18270,"link"
79,18219,"link"
79,12894,"link"
79,18199,"link"
79,15435,"link"
79,12862,"link"
79,18236,"link"
79,12854,"link"
79,12847,"link"
79,12843,"link"
79,18267,"link"
79,12817,"link"
79,14790,"link"
79,15406,"link"
79,14635,"link"
79,15424,"link"
79,15427,"link"
79,15000,"link"
79,15430,"link"
79,15433,"link"
79,14381,"link"
79,14368,"link"
79,14385,"link"
79,14370,"link"
79,14363,"link"
79,14362,"link"
79,14377,"link"
79,14866,"link"
79,15735,"link"
79,14376,"link"
79,14347,"link"
79,14357,"link"
79,14351,"link"
79,14353,"link"
79,14355,"link"
79,14359,"link"
79,14369,"link"
79,14366,"link"
79,14787,"link"
79,14792,"link"
79,14774,"link"
79,14798,"link"
79,14796,"link"
79,14800,"link"
79,14802,"link"
79,15403,"link"
79,15400,"link"
79,15409,"link"
79,15412,"link"
79,15414,"link"
79,15439,"link"
79,15209,"link"
79,15211,"link"
79,15204,"link"
79,15215,"link"
79,15218,"link"
79,15208,"link"
79,15207,"link"
79,15242,"link"
79,15244,"link"
79,15247,"link"
79,14375,"link"
79,14372,"link"
79,14367,"link"
79,14411,"link"
79,14409,"link"
79,14398,"link"
79,14410,"link"
79,14404,"link"
79,14397,"link"
79,14396,"link"
79,13611,"link"
79,13603,"link"
79,13601,"link"
